    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 4720,      11079847,         5532850,           5621,    211550,       16708,        341,                  44566241,                     5424551,                      15527,       275442,         124396,           362
 4721,      11083476,         5534663,           5552,    212331,       16645,        340,                  44585125,                     5426314,                      15642,       275328,         124324,           362
 4722,      11083529,         5534688,           5731,    222542,       16526,        340,                  44604013,                     5426339,                      15739,       275410,         124379,           361
 4723,      11086248,         5536046,           5620,    213751,       16512,        335,                  44622905,                     5427660,                      15306,       275625,         124466,           363
 4724,      11088271,         5537056,           5556,    212612,       16703,        342,                  44641801,                     5428646,                      15723,       275683,         124512,           363
 4725,      11096714,         5541276,           5928,    215362,       16692,        343,                  44660701,                     5432759,                      15593,       275674,         124479,           365
 4726,      11099729,         5542782,           5557,    215580,       16633,        340,                  44679605,                     5434222,                      15519,       275962,         124628,           365
 4727,      11103232,         5544532,           5637,    216411,       16580,        339,                  44698513,                     5435924,                      15479,       275862,         124607,           363
 4728,      11103395,         5544612,           5628,    220699,       16527,        338,                  44717425,                     5436003,                      15357,       276042,         124667,           363
 4729,      11104354,         5545090,           5563,    220653,       16549,        338,                  44736341,                     5436472,                      15519,       275931,         124659,           365
 4730,      11104779,         5545301,           5636,    221918,       16371,        333,                  44755261,                     5436679,                      16008,       276269,         124875,           363
 4731,      11106884,         5546352,           5644,    219148,       16586,        338,                  44774185,                     5437705,                      15540,       276220,         124714,           372
 4732,      11111517,         5548667,           5667,    212445,       16726,        340,                  44793113,                     5439958,                      15801,       276220,         124689,           363
 4733,      11112538,         5549176,           5568,    213302,       16725,        339,                  44812045,                     5440456,                      15798,       276285,         124717,           365
 4734,      11118347,         5552079,           5907,    213821,       16714,        350,                  44830981,                     5443285,                      15696,       276463,         124925,           405
 4735,      11119840,         5552824,           5586,    212853,       16765,        342,                  44849921,                     5444014,                      15910,       276409,         124816,           365
 4736,      11128993,         5557399,           5579,    214256,       16713,        340,                  44868865,                     5448474,                      16234,       276544,         124886,           364
 4737,      11131670,         5558736,           5702,    214912,       16687,        338,                  44887813,                     5449774,                      15801,       276492,         124918,           363
 4738,      11132441,         5559120,           5582,    220899,       16444,        335,                  44906765,                     5450149,                      15879,       276670,         124931,           367
 4739,      11138532,         5562164,           5624,    218650,       16644,        338,                  44925721,                     5453116,                      15574,       276582,         124986,           362
