   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 563,        155529,           76924,            186,     19128,        1563,         52,                    635065,                       76536,                        359,        24166,          10507,            34
 564,        156362,           77339,             84,     18865,        1562,         36,                    637321,                       76946,                        341,        24363,          10606,            33
 565,        157429,           77871,             84,     19699,        1524,         35,                    639581,                       77472,                        320,        24318,          10580,            33
 566,        157502,           77906,             84,     19130,        1572,         35,                    641845,                       77507,                        324,        24375,          10621,            42
 567,        157957,           78132,             84,     19243,        1599,         35,                    644113,                       77730,                        335,        24445,          10638,            33
 568,        158044,           78174,             83,     20378,        1542,         36,                    646385,                       77771,                        326,        24442,          10649,            33
 569,        159071,           78686,             84,     19284,        1562,         35,                    648661,                       78277,                        325,        24609,          10719,            33
 570,        159542,           78920,             84,     19420,        1557,         44,                    650941,                       78508,                        326,        24676,          10760,            33
 571,        160413,           79354,             85,     19545,        1572,         34,                    653225,                       78937,                        328,        24670,          10775,            34
 572,        161460,           79876,             89,     19712,        1582,         34,                    655513,                       79453,                        328,        24722,          10746,            34
 573,        162177,           80233,             86,     19666,        1610,         35,                    657805,                       79807,                        330,        24866,          10843,            41
 574,        163222,           80754,            105,     19601,        1571,         36,                    660101,                       80322,                        361,        24820,          10802,            36
 575,        164139,           81211,             87,     19232,        1600,         36,                    662401,                       80774,                        334,        24818,          10816,            34
 576,        164888,           81584,             87,     19723,        1605,         36,                    664705,                       81144,                        333,        24939,          10868,            34
 577,        165923,           82100,             88,     19785,        1600,         35,                    667013,                       81654,                        336,        25063,          10927,            34
 578,        166912,           82593,             88,     20060,        1632,         35,                    669325,                       82141,                        335,        24985,          10890,            34
 579,        166961,           82616,             88,     19985,        1582,         35,                    671641,                       82164,                        339,        25069,          10927,            34
 580,        167672,           82970,             89,     19987,        1607,         35,                    673961,                       82515,                        347,        25126,          10937,            34
 581,        168189,           83227,             91,     19929,        1596,         37,                    676285,                       82769,                        339,        25144,          10948,            34
