    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 3054,         11762,            1302,             16,     89633,        4105,         84,                  18659941,                        5579,                       8684,       177926,          81812,           179
 3055,         11767,            1303,             17,     87763,        4132,         88,                  18672161,                        5580,                       8413,       177981,          81852,           212
 3056,         11770,            1303,             16,     84402,        4074,         83,                  18684385,                        5582,                       8676,       178021,          81873,           180
 3057,         11773,            1303,             17,     83834,        4084,         85,                  18696613,                        5584,                       8744,       178052,          81892,           188
 3058,         11776,            1303,             17,     84901,        4086,         88,                  18708845,                        5586,                       8417,       178164,          81949,           181
 3059,         11779,            1303,             16,     85644,        4079,         82,                  18721081,                        5588,                       8622,       178214,          81972,           182
 3060,         11782,            1303,             16,     84335,        4079,         86,                  18733321,                        5590,                       8428,       178278,          81992,           179
 3061,         11785,            1303,             16,     84407,        4080,         81,                  18745565,                        5592,                       8588,       178305,          82003,           179
 3062,         11788,            1303,             16,     84084,        4091,         86,                  18757813,                        5594,                       8558,       178426,          82088,           179
 3063,         11791,            1303,             17,     84062,        4101,         83,                  18770065,                        5596,                       8618,       178520,          82117,           180
 3064,         11794,            1303,             17,     87078,        4128,         88,                  18782321,                        5598,                       8557,       178561,          82146,           179
 3065,         11797,            1303,             17,     88545,        4107,         85,                  18794581,                        5600,                       8906,       178612,          82167,           180
 3066,         11800,            1303,             16,     85229,        4071,         87,                  18806845,                        5602,                       8525,       178704,          82213,           181
 3067,         11803,            1303,             17,     85711,        4099,         91,                  18819113,                        5604,                       9311,       178729,          82226,           180
 3068,         11814,            1307,             17,     83962,        4118,         86,                  18831385,                        5608,                       8574,       178799,          82259,           180
 3069,         11817,            1307,             17,     84425,        4106,         87,                  18843661,                        5610,                       8845,       178852,          82291,           180
 3070,         11820,            1307,             17,     85414,        4122,         88,                  18855941,                        5612,                       8972,       178945,          82322,           182
 3071,         11823,            1307,             17,     86333,        4101,         88,                  18868225,                        5614,                       8549,       178980,          82353,           182
 3072,         11828,            1308,             17,     85563,        4116,         87,                  18880513,                        5615,                       9574,       179046,          82376,           193
 3073,         11835,            1310,             17,     85488,        4120,         87,                  18892805,                        5617,                       8663,       179139,          82428,           182
 3074,         11844,            1313,             17,     84765,        4121,         87,                  18905101,                        5620,                       8918,       179225,          82463,           195
 3075,         11851,            1315,             17,     85000,        4121,         92,                  18917401,                        5622,                       8553,       179286,          82490,           180
 3076,         11854,            1315,             16,     86446,        4134,         85,                  18929705,                        5624,                       9093,       179355,          82518,           182
 3077,         11857,            1315,             16,     85789,        4142,         92,                  18942013,                        5626,                       8517,       179384,          82515,           181
 3078,         11860,            1315,             16,     85755,        4132,         84,                  18954325,                        5628,                       9028,       179438,          82546,           184
 3079,         11863,            1315,             17,     85522,        4125,         89,                  18966641,                        5630,                       8611,       179489,          82563,           184
 3080,         11866,            1315,             17,     84902,        4093,         87,                  18978961,                        5632,                       8649,       179570,          82600,           180
 3081,         11869,            1315,             17,     85102,        4137,         87,                  18991285,                        5634,                       9626,       179662,          82648,           181
 3082,         11872,            1315,             17,     86331,        4126,         89,                  19003613,                        5636,                       8560,       179703,          82658,           182
 3083,         11875,            1315,             16,     87626,        4153,         85,                  19015945,                        5638,                       8877,       179789,          82703,           183
 3084,         11878,            1315,             17,     84850,        4160,         87,                  19028281,                        5640,                       8558,       179839,          82721,           182
 3085,         11881,            1315,             16,     84895,        4162,         82,                  19040621,                        5642,                       8704,       179922,          82763,           180
